,Date,Year,Month,Day,Min Temp,Max Temp,Total Precipitation,Max Gust,Min Humidity,Max Humidity,Min Wind Speed,Max Wind Speed,Min Visibility,Max Visibility,Min Pressure,Max Pressure,Condition
330,2013-11-28,2013,11,28,-10.0,-3.2,0.2,35,54.0,83.0,6.0,28.0,12.9,24.1,99.45,100.88,1
331,2013-11-29,2013,11,29,-10.5,-2.1,0.0,<31,56.0,81.0,1.0,18.0,24.1,80.5,100.93,101.86,0
332,2013-11-30,2013,11,30,-3.7,2.1,0.0,39,52.0,73.0,7.0,21.0,24.1,24.1,100.01,101.77,0
333,2013-12-01,2013,12,1,1.3,3.2,1.0,<31,73.0,91.0,1.0,13.0,8.1,24.1,99.3,99.94,1
334,2013-12-02,2013,12,2,-0.9,2.5,0.0,<31,64.0,95.0,2.0,18.0,3.6,24.1,99.06,99.26,1
335,2013-12-03,2013,12,3,-4.0,3.6,0.0,<31,53.0,85.0,0.0,15.0,24.1,24.1,99.23,99.48,0
336,2013-12-04,2013,12,4,0.5,4.6,3.0,33,79.0,91.0,5.0,23.0,9.7,24.1,99.05,99.55,1
337,2013-12-05,2013,12,5,1.8,15.6,0.0,57,54.0,94.0,4.0,38.0,6.4,24.1,98.44,99.51,0
338,2013-12-06,2013,12,6,-2.5,1.8,0.0,39,55.0,66.0,13.0,28.0,24.1,24.1,99.53,100.35,0
339,2013-12-07,2013,12,7,-8.0,-1.3,0.0,43,45.0,74.0,10.0,32.0,19.3,24.1,100.37,101.33,1
340,2013-12-08,2013,12,8,-8.6,-1.1,0.0,44,45.0,76.0,2.0,26.0,19.3,24.1,100.15,101.35,1
341,2013-12-09,2013,12,9,-4.4,1.2,1.8,70,65.0,96.0,10.0,48.0,2.4,24.1,98.89,99.99,1
342,2013-12-10,2013,12,10,-9.6,-4.3,0.0,52,51.0,81.0,18.0,32.0,9.7,24.1,99.19,99.56,1
343,2013-12-11,2013,12,11,-11.0,-4.4,0.0,67,52.0,80.0,21.0,45.0,16.1,24.1,99.62,100.38,1
344,2013-12-12,2013,12,12,-11.8,-7.4,0.0,52,54.0,81.0,5.0,37.0,19.3,24.1,99.6,100.5,1
345,2013-12-13,2013,12,13,-12.8,-4.9,0.2,56,55.0,85.0,13.0,35.0,1.6,24.1,99.52,100.85,1
346,2013-12-14,2013,12,14,-14.7,-11.1,7.2,44,54.0,86.0,12.0,27.0,1.2,24.1,98.92,100.96,1
347,2013-12-15,2013,12,15,-13.8,-4.6,2.2,59,71.0,86.0,3.0,45.0,2.4,24.1,98.46,98.96,1
348,2013-12-16,2013,12,16,-17.8,-8.0,0.2,<31,52.0,88.0,3.0,24.0,1.6,24.1,99.06,100.03,1
349,2013-12-17,2013,12,17,-15.4,-4.2,2.4,<31,75.0,88.0,3.0,18.0,2.4,24.1,99.13,99.9,1
350,2013-12-18,2013,12,18,-5.7,-0.9,0.0,52,66.0,86.0,8.0,33.0,16.1,24.1,99.19,99.61,1
351,2013-12-19,2013,12,19,-3.2,2.5,1.2,<31,68.0,86.0,5.0,21.0,16.1,24.1,98.99,99.57,0
352,2013-12-20,2013,12,20,-0.5,0.6,9.6,<31,91.0,97.0,4.0,17.0,1.6,8.1,98.82,99.47,1
353,2013-12-21,2013,12,21,-1.2,0.2,16.6,33,90.0,97.0,5.0,23.0,1.0,16.1,98.63,99.19,1
354,2013-12-22,2013,12,22,-2.6,1.9,14.0,37,83.0,96.0,5.0,19.0,3.2,24.1,98.37,99.22,1
355,2013-12-23,2013,12,23,-8.5,1.0,0.0,<31,73.0,94.0,7.0,23.0,6.4,24.1,99.24,100.39,1
356,2013-12-24,2013,12,24,-15.8,-8.0,0.4,39,65.0,85.0,7.0,29.0,3.6,24.1,100.3,101.19,1
357,2013-12-25,2013,12,25,-17.0,-3.8,2.4,<31,77.0,89.0,2.0,17.0,1.2,24.1,100.05,101.2,1
358,2013-12-26,2013,12,26,-6.9,-0.7,3.0,46,76.0,93.0,3.0,31.0,3.2,24.1,99.61,100.29,1
359,2013-12-27,2013,12,27,-5.9,1.5,0.0,46,65.0,89.0,8.0,25.0,14.5,24.1,99.65,100.32,1
360,2013-12-28,2013,12,28,1.5,3.4,0.0,46,77.0,85.0,3.0,33.0,16.1,24.1,99.23,99.71,0
361,2013-12-29,2013,12,29,-8.0,4.8,0.0,57,61.0,89.0,6.0,33.0,24.1,24.1,98.22,99.15,0
362,2013-12-30,2013,12,30,-11.3,-8.0,0.0,65,38.0,71.0,3.0,41.0,24.1,24.1,98.92,100.24,0
363,2013-12-31,2013,12,31,-11.0,-7.1,0.6,67,58.0,87.0,3.0,44.0,3.2,24.1,99.4,100.2,1
364,2014-01-01,2014,1,1,-15.3,-10.0,0.0,35,45.0,75.0,5.0,26.0,24.1,24.1,100.25,100.84,0
365,2014-01-02,2014,1,2,-20.0,-15.2,0.8,48,42.0,73.0,19.0,35.0,3.2,24.1,99.78,100.68,1
366,2014-01-03,2014,1,3,-23.8,-9.2,0.0,41,40.0,72.0,2.0,34.0,24.1,24.1,99.98,100.76,1
